title,release_date,runtime,language
Mumbai Mafia: Police vs The Underworld,2023-01-06,87,English
The Hatchet Wielding Hitchhiker,2023-01-10,85,English
Big Mäck: Gangsters and Gold,2023-01-20,90,German
"Pamela, a Love Story",2023-01-31,112,English
Money Shot: The Pornhub Story,2023-03-15,94,English
Caught Out: Crime. Corruption. Cricket.,2023-03-17,77,English
Lewis Capaldi: How I'm Feeling Now,2023-04-05,96,English
Longest Third Date,2023-04-18,75,English
Anna Nicole Smith: You Don't Know Me,2023-05-16,116,English
Victim/Suspect,2023-05-23,95,English
Take Care of Maya,2023-06-19,103,English
King of Clones,2023-06-23,85,English
Eldorado: Everything the Nazis Hate,2023-06-28,92,English
Unknown: The Lost Pyramid,2023-07-03,84,English
Wham!,2023-07-05,92,English
Unknown: Killer Robots,2023-07-10,68,English
Unknown: Cave of Bones,2023-07-17,94,English
The Deepest Breath,2023-07-19,110,English
Unknown: Cosmic Time Machine,2023-07-24,64,English
Missing: The Lucie Blackman Case,2023-07-26,82,English
Tokyo Crime Squad: The Lucie Blackman Case,2023-07-26,101,Japanese
The Lady of Silence: The Mataviejitas Murders,2023-07-27,111,Spanish
Untold: Jake Paul the Problem Child,2023-08-01,72,English
Mark Cavendish: Never Enough,2023-08-02,92,English
Poisoned: The Dirty Truth About Your Food,2023-08-02,82,English
Untold: Johnny Football,2023-08-08,72,English
Untold: Hall of Shame,2023-08-15,78,English
A Life Too Short: The Isabella Nardoni Case,2023-08-17,104,Portuguese
Scouts Honor: The Secret Files of the Boy Scouts of America,2023-09-06,94,English
Rosa Peral's Tapes,2023-09-08,80,Spanish
The Saint of Second Chances,2023-09-19,94,English
"Ice Cold: Murder, Coffee and Jessica Wongso",2023-09-28,86,Indonesian
The Darkness within La Luz del Mundo,2023-09-28,114,Spanish
Race to the Summit,2023-10-04,90,German
Camp Courage,2023-10-15,33,Ukrainian
The Devil on Trial,2023-10-17,81,English
Vjeran Tomic: The Spider-Man of Paris,2023-10-20,86,French
Onefour: Against All Odds,2023-10-26,82,English
Yellow Door: '90s Lo-fi Film Club,2023-10-27,84,Korean
Higuita: The Way of the Scorpion,2023-11-02,90,Spanish
Sly,2023-11-03,96,English
Cyberbunker: The Criminal Underworld,2023-11-08,101,English
Stamped from the Beginning,2023-11-20,92,English
Ilary Blasi: The One and Only,2023-11-24,80,Italian
American Symphony,2023-11-29,103,English
Kevin Hart & Chris Rock: Headliners Only,2023-12-12,82,English
Face to Face with ETA: Conversations with a Terrorist,2023-12-15,102,Spanish
Curry & Cyanide: The Jolly Joseph Case,2023-12-22,95,Malayalam
Hell Camp: Teen Nightmare,2023-12-27,90,English
Bitconned,2024-01-01,94,English
The Greatest Night in Pop,2024-01-29,97,English
"Lover, Stalker, Killer",2024-02-09,90,English
Einstein and the Bomb,2024-02-16,76,English
You Are Not Alone: Fighting the Wolf Pack,2024-03-01,102,Spanish
To Kill a Tiger,2024-03-10,127,Hindi
The Antisocial Network: Memes to Mayhem,2024-04-05,85,English
What Jennifer Did,2024-04-10,87,English
The Doomsday Cult of Antares de la Luz,2024-04-25,100,Spanish
Hack Your Health: The Secrets of Your Gut,2024-04-26,79,English
Secrets of the Neanderthals,2024-05-02,80,English
The Final: Attack on Wembley,2024-05-08,82,English
The Guardian of the Monarchs,2024-05-09,91,Spanish
Living with Leopards,2024-05-10,71,English
Power,2024-05-17,88,English
Illusions for Sale: The Rise and Fall of Generation Zoe,2024-05-23,107,Spanish
How to Rob a Bank,2024-06-05,88,English
Nelma Kodama: The Queen of Dirty Money,2024-06-06,94,Portuguese
Rafa Márquez: El Capitán,2024-06-06,82,Spanish
Mysteries of the Terracotta Warriors,2024-06-12,77,English
Outstanding: A Comedy Revolution,2024-06-18,99,English
Black Barbie: A Documentary,2024-06-19,113,English
The Accidental Twins,2024-06-20,84,Spanish
Skywalkers: A Love Story,2024-07-19,100,English
Mountain Queen: The Summits of Lhakpa Sherpa,2024-07-31,104,English
"Mon Laferte, te amo",2024-08-01,78,Spanish
Modern Masters: S. S. Rajamouli,2024-08-02,74,English
Inside the Mind of a Dog,2024-08-09,75,English
Daughters,2024-08-14,108,English
Untold: The Murder of Air McNair,2024-08-20,58,English
Secret Lives of Orangutans,2024-08-22,79,English
Untold: Sign Stealer,2024-08-27,87,English
Untold: Hope Solo vs. U.S. Soccer,2024-09-03,74,English
Apollo 13: Survival,2024-09-05,98,English
Jailbreak: Love on the Run,2024-09-25,88,English
An Invisible Victim: The Eliza Samudio Case,2024-09-26,101,Portuguese
Will & Harper,2024-09-27,114,English
The Menendez Brothers,2024-10-07,118,English
Breaking the Silence: The Maria Soledad Case,2024-10-10,95,Spanish
Sweet Bobby: My Catfish Nightmare,2024-10-16,82,English
The Turnaround,2024-10-18,25,English
The Remarkable Life of Ibelin,2024-10-25,103,English
Martha,2024-10-30,113,English
It's All Over: The Kiss That Changed Spanish Football,2024-11-01,95,Spanish
Return of the King: The Fall and Rise of Elvis Presley,2024-11-13,91,English
The Lost Children,2024-11-14,96,Spanish
Nayanthara: Beyond the Fairytale,2024-11-17,82,English
Buy Now: The Shopping Conspiracy,2024-11-20,84,English
The Only Girl in the Orchestra,2024-12-04,35,English
Biggest Heist Ever,2024-12-06,87,English
Makayla's Voice: A Letter to the World,2024-12-11,24,English
Julia's Stepping Stone,2024-12-18,32,English
Yo Yo Honey Singh: Famous,2024-12-20,80,Hindi
Avicii – I'm Tim,2024-12-31,96,English
Don't Die: The Man Who Wants to Live Forever,2025-01-01,89,English
Miss Italia Mustn't Die,2025-02-26,98,Italian
Larissa: The Other Side of Anitta,2025-03-06,100,Portuguese
Chaos: The Manson Murders,2025-03-07,96,English
The Twister: Caught in the Storm,2025-03-19,89,English
Con Mum,2025-03-25,88,English
Oklahoma City Bombing: American Terror,2025-04-18,0,English
Pangolin: Kulu’s Journey,2025-04-21,0,English
