title,release_date,genre,runtime,language
Invader Zim: Enter the Florpus,2019-08-16,Animation / Science fiction,71,English
Sextuplets,2019-08-16,Comedy,99,English
Falling Inn Love,2019-08-29,Romantic comedy,98,English
Back to School,2019-08-30,Comedy,83,French
Tall Girl,2019-09-13,Teen comedy drama,102,English
Between Two Ferns: The Movie,2019-09-20,Comedy,82,English
In the Shadow of the Moon,2019-09-27,Science fiction thriller,115,English
In the Tall Grass,2019-10-04,Horror,101,English
El Camino: A Breaking Bad Movie,2019-10-11,Crime drama,122,English
Fractured,2019-10-11,Thriller,100,English
The Forest of Love,2019-10-11,Crime thriller,151,Japanese
Street Flow,2019-10-12,Drama,96,French
Eli,2019-10-18,Horror,98,English
Seventeen,2019-10-18,Coming-of-age comedy drama,99,Spanish
The Laundromat,2019-10-18,Biographical comedy drama,96,English
Upstarts,2019-10-18,Comedy drama,112,Hindi
Dolemite Is My Name,2019-10-25,Biopic,118,English
Rattlesnake,2019-10-25,Horror,85,English
The King,2019-11-01,Historical drama,140,English
American Son,2019-11-01,Drama,90,English
Drive,2019-11-01,Action,119,Hindi
Holiday in the Wild,2019-11-01,Christmas adventure-romance,86,English
Let It Snow,2019-11-08,Christmas romantic comedy,93,English
Earthquake Bird,2019-11-15,Thriller,106,English
House Arrest,2019-11-15,Comedy,104,Hindi
Klaus,2019-11-15,Animation / Christmas / Comedy / Adventure,98,English
The Knight Before Christmas,2019-11-21,Christmas romantic comedy,92,English
The Irishman,2019-11-27,Crime drama,209,English
Holiday Rush,2019-11-28,Christmas-family,94,English
Dead Kids,2019-12-01,Thriller,94,Filipino
A Christmas Prince: The Royal Baby,2019-12-05,Christmas romantic comedy,85,English
Marriage Story,2019-12-06,Drama,136,English
6 Underground,2019-12-13,Action,128,English
The Two Popes,2019-12-20,Biographical drama,125,English
Como caído del cielo,2019-12-24,Comedy,117,Spanish
The App,2019-12-26,Science fiction drama,79,Italian
Ghost Stories,2020-01-01,Horror anthology,144,Hindi
A Fall from Grace,2020-01-17,Thriller,120,English
Airplane Mode,2020-01-23,Comedy,96,Portuguese
Horse Girl,2020-02-07,Psychological drama,104,English
